ticker,ex_date,dividend_rate,car,n_valid_days
COLO,2022-02-23,5.0,-0.12519177908122237,11
GLAS,2022-02-25,0.25,-0.08895484186935121,11
COCR,2022-02-28,1.0,-0.14523193742190144,11
TJL,2022-02-28,0.85,0.042478682186051775,11
SAMP,2022-03-31,4.25,-0.2348198977266147,11
HASU,2022-04-01,3.2,0.10254228321713688,11
HNB,2022-03-31,6.5,-0.3413978716188165,11
HNB,2022-03-31,6.5,-0.3413978716188165,11
NEST,2022-06-10,35.0,0.08407881543238083,10
LITE,2022-03-04,0.75,0.02911936684630445,11
CSD,2022-03-31,1.4,-0.23754034248308653,11
OSEA,2022-04-28,1.25,0.02114752484477167,11
GRAN,2022-03-08,6.0,-0.19401051910141953,11
TAFL,2022-03-08,10.0,-0.16321301819139433,11
EBCR,2022-03-09,0.5,0.01855922100121654,11
LLUB,2022-03-09,2.0,-0.06386444103496602,11
COMB,2022-03-31,4.5,-0.1990739985320018,11
COMB,2022-03-31,4.5,-0.1990739985320018,11
COMD,2022-04-01,4.0,-0.10117900268029956,10
KFP,2022-03-10,7.0,0.07826290518652046,11
PARQ,2022-03-10,1.0,-0.2012997347620119,11
TILE,2022-03-10,1.8,-0.22431159469121298,11
UAL,2022-03-10,22.0,0.215959894883602,11
AAIC,2022-03-11,2.8,-0.10300399399163307,11
LWL,2022-03-11,1.7,-0.05922280037115313,11
RCL,2022-03-14,1.5,-0.058393525139531,11
PACK,2022-03-16,0.2,0.012729119416443613,11
UML,2022-03-16,1.5,-0.08045126679348713,11
CCS,2022-03-21,0.8,0.018514169729441754,11
ETWO,2022-03-23,0.65,0.011910910385145024,3
MELS,2022-03-28,2.7,0.14765792789760168,11
DIST,2022-03-28,0.7,0.0002480062584319098,11
HAYL,2022-03-28,4.0,-0.2153359723792485,11
PAP,2022-03-28,0.2,-0.07669106747420462,11
SLTL,2022-06-21,2.02,-0.07698729773149893,10
TSML,2022-03-29,1.0,0.05889238796069529,9
ALLI,2022-03-30,6.5,-0.21584690580249488,11
LMF,2022-03-30,5.0,-0.12809814866045655,11
NDB,2022-04-01,1.0,-0.35330106400325767,11
MCPL,2022-04-04,1.0,-0.0737075409766823,9
GREG,2022-04-04,3.0,0.09417464392721597,11
AMSL,2022-04-05,0.9,-0.08774635719099999,11
ASIR,2022-04-05,1.2,-0.2832377567725822,11
KGAL,2022-04-05,5.0,0.1611788300895851,11
NAMU,2022-04-05,10.0,-0.12577099935733527,11
BFL,2022-04-06,6.0,-0.024580599843738615,11
REXP,2022-04-06,28.0,0.10050950605736753,11
ALUM,2022-04-08,0.2,-0.12665211177353808,11
DIPD,2022-04-08,0.5,-0.1741853975961003,11
HAYC,2022-04-08,0.75,0.1446663578146875,11
KVAL,2022-04-08,1.0,0.3739567575625308,11
PINS,2022-04-08,1.5,-0.30533233103767654,11
HEXP,2022-04-25,0.5,-0.010331161959276525,11
MGT,2022-04-25,0.3,-0.16015467444145215,11
SINS,2022-04-25,0.2,-0.377204019220839,11
CINS,2022-05-23,42.0,0.006906067043374375,3
CINS,2022-05-23,42.0,0.006906067043374375,3
JINS,2022-05-04,2.3,0.5043442196298997,11
DOCK,2022-05-05,1.0,-0.13787340841462425,11
SDF,2022-05-05,0.5,-0.1990817329522857,11
CTEA,2022-05-18,25.0,0.13204972550186,8
UCAR,2022-06-13,10.0,-0.29537552065441763,6
SDB,2022-05-31,1.5,-0.2748969469897833,11
MGT,2022-06-30,1.0,-0.16015467444145215,11
CTC,2022-05-24,10.0,0.016000962614618808,11
SPEN,2022-05-24,4.0,0.046694590941347536,10
KVAL,2022-06-29,2.5,0.3739567575625308,11
LION,2022-05-25,17.25,0.1695940174019963,5
SINS,2022-05-25,0.2,-0.377204019220839,11
TPL,2022-06-29,5.0,0.026971408039019984,10
AEL,2022-05-26,0.75,-0.3961996215954303,11
ELPL,2022-05-26,3.0,-0.03645689912003358,11
HEXP,2022-06-29,0.3,-0.010331161959276525,11
CCS,2022-05-30,0.33,-0.09745642794261111,11
CHL,2022-05-30,5.0,0.29526935183557645,9
CHL,2022-05-30,5.0,0.29526935183557645,9
KFP,2022-05-30,0.5,0.1181570048072823,7
DIPD,2022-06-29,0.15,-0.1741853975961003,11
HAYC,2022-06-29,0.4,0.1446663578146875,11
HHL,2022-06-29,1.95,0.25192004901266685,11
ASPM,2022-06-01,11.0,0.029939781852683534,1
JKH,2022-06-01,0.5,0.02736871361289861,11
SIL,2022-06-02,2.0,0.06689236340297533,2
CIC,2022-07-01,1.0,0.0989456408358913,10
CIC,2022-07-01,1.0,0.0989456408358913,10
PLR,2022-06-03,0.7,-0.08395243511418993,11
ALUM,2022-06-30,0.25,-0.12665211177353808,11
PARQ,2022-06-06,0.9,-0.2748507525572589,11
CWM,2022-07-29,10.0,0.5029655884703526,11
WATA,2022-06-27,8.0,-0.23389283370184666,11
TILE,2022-06-07,1.9,-0.35105643109944806,11
SUN,2022-06-27,0.5,0.017721278108213112,11
LWL,2022-06-08,2.9,-0.4041064422941806,11
VLL,2022-06-08,0.1,-0.0270326981014547,11
VLL,2022-06-08,0.1,-0.0270326981014547,11
DIAL,2022-06-22,1.24,-0.021009580660954374,11
ASIY,2022-06-09,0.13,0.0914364974699523,10
DIMO,2022-06-09,12.5,0.07324672209831973,11
RCL,2022-06-09,0.75,-0.4038518069036936,11
ASHO,2022-08-12,10.0,0.013356186018084526,6
CHMX,2022-07-01,2.0,0.38173180101350124,10
LFIN,2022-07-01,2.0,-0.262243772424234,11
MAL,2022-06-28,0.12,0.1569721781943333,9
MAL,2022-06-28,0.12,0.1569721781943333,9
UML,2022-06-30,0.5,-0.07463792754741039,10
CINV,2022-06-13,0.75,-0.2344915500488055,11
GUAR,2022-06-13,2.0,-0.20450877917776777,10
RIL,2022-07-01,0.2,-0.09770441399011398,11
CFIN,2022-07-01,2.0,-0.057247996048251926,11
BREW,2022-06-17,29.75,0.07166266005179911,3
CERA,2022-06-30,2.6,-0.06861180087228547,8
VFIN,2022-06-20,2.0,-0.3106386795745182,11
HUNT,2022-06-22,5.41,0.2862808727044669,6
COOP,2022-08-08,0.14,0.19355475350929519,11
EXPO,2022-07-01,8.19,-0.23653933372240576,11
CTBL,2022-07-04,0.36,0.3755675559645225,11
JAT,2022-07-04,0.38,-0.2751434768110226,11
CARS,2022-07-06,1.5,-0.01349229392295448,9
PACK,2022-07-07,0.4,0.26276281200966833,11
CARG,2022-07-29,5.0,0.3693447673845338,11
CTHR,2022-08-01,3.0,0.3017365321578317,7
CDB,2022-08-01,3.75,-0.04956273672402656,8
CDB,2022-08-01,3.75,-0.04956273672402656,8
SFCL,2022-09-01,1.4,-0.2078509826046574,5
LIOC,2022-08-08,2.25,-0.09263573477861098,10
LCBF,2022-08-01,0.06,-0.0387445966601454,11
AAF,2022-07-21,0.7,0.3458659726596045,11
BUKI,2022-07-25,1.1,-0.19335224653390304,6
HPL,2022-07-27,1.0,-0.01274651571899954,10
SFIN,2022-08-01,0.8,-0.2888279410258454,11
LMF,2022-08-03,2.5,-0.08405704577289141,11
TJL,2022-08-19,1.5,-0.07295661095355921,11
EXT,2022-08-31,0.07,-0.09921316100583077,6
HBS,2022-08-26,0.3,-0.07266826376050461,11
APLA,2022-08-10,15.0,-0.1527847472987489,11
SOY,2022-09-13,3.5,0.017003652450714668,4
COCR,2022-09-12,2.0,-0.14895325683065574,11
KCAB,2022-08-16,6.5,-0.1501529215677796,11
CABO,2022-08-19,1.0,-0.13358661014289297,7
RCH,2022-08-19,0.5,-0.04485580355727625,6
RENU,2022-08-19,2.0,0.3682668443656263,7
COCO,2022-09-08,0.41,-0.012779275404918522,10
COCO,2022-09-08,0.41,-0.012779275404918522,10
RAL,2022-09-08,0.2,-0.2034100662747218,10
CTC,2022-08-23,10.0,0.016000962614618808,11
DIST,2022-08-23,0.5,0.019869054924518625,11
SHAW,2022-09-27,1.0,0.07642860145816832,3
CWL,2022-08-29,0.2,-0.17418989792549944,11
LHCL,2022-08-30,2.0,0.19325284329162395,10
ASIY,2022-09-02,0.35,0.0914364974699523,10
ACL,2022-09-05,1.0,-0.009362350976989342,11
TYRE,2022-09-05,5.0,-0.026341572746908404,11
ALLI,2022-09-21,8.0,-0.222658524671575,11
MCPL,2022-09-30,1.5,-0.0737075409766823,9
RWSL,2022-09-30,0.15,0.24524451599651031,11
CARE,2022-09-08,4.0,0.07718377358225292,10
ABAN,2022-09-29,5.0,-0.066008884834027,9
CTEA,2022-09-30,15.0,0.13204972550186,8
LUMX,2022-09-28,0.4,0.017630433913233268,5
MDL,2022-09-23,0.25,-0.36520353470998124,11
HPWR,2022-09-13,0.55,-0.4363287165666192,11
HUNT,2022-10-03,10.0,0.2862808727044669,6
LITE,2022-09-15,1.0,0.03006180509891343,11
EMER,2022-10-03,0.15,-0.09644222758363752,10
EBCR,2022-09-19,1.0,0.19883389061587464,11
LPRT,2022-10-03,2.0,0.08124221674047172,2
SLND,2022-09-30,25.0,0.0015404624967185754,1
MGT,2022-09-23,1.0,-0.16015467444145215,11
TPL,2022-09-23,3.0,0.026971408039019984,10
KVAL,2022-09-26,2.5,0.3739567575625308,11
SDF,2022-09-27,0.5,-0.1990817329522857,11
DIPD,2022-10-11,1.25,-0.1741853975961003,11
HAYC,2022-10-12,2.75,0.1446663578146875,11
HEXP,2022-10-12,2.0,-0.010331161959276525,11
UCAR,2022-10-20,15.0,-0.29537552065441763,6
ONAL,2022-11-04,0.6,0.10141140636101031,4
ONAL,2022-11-04,1.5,0.10141140636101031,4
LLUB,2022-11-11,5.0,0.15230618643766247,11
JKH,2022-11-16,1.0,0.02736871361289861,11
MELS,2022-11-16,2.35,0.1300344876155417,11
PACK,2022-11-16,1.35,0.26276281200966833,11
CARG,2022-11-17,3.5,0.3693447673845338,11
DIST,2022-11-17,0.6,0.019869054924518625,11
HHL,2022-11-17,0.4,0.25192004901266685,11
CTHR,2022-11-18,2.45,0.3017365321578317,7
WATA,2022-11-21,6.0,-0.23389283370184666,11
PINS,2022-11-22,1.0,-0.30533233103767654,11
CTC,2022-11-23,9.0,0.016000962614618808,11
HPL,2022-11-25,0.5,-0.01274651571899954,10
LION,2022-11-30,13.6,0.1695940174019963,5
EXT,2022-12-01,0.2,-0.09921316100583077,6
JAT,2022-12-12,0.45,-0.2751434768110226,11
CFIN,2022-12-19,2.5,-0.057247996048251926,11
COMD,2022-12-22,3.0,-0.10117900268029956,10
DIPD,2023-01-11,1.0,-0.04058423104049347,11
HAYC,2023-01-11,1.5,-0.09188953626613061,11
HEXP,2023-01-11,1.0,0.0035590651980889065,11
KVAL,2023-01-11,3.0,-0.039254608148785786,11
MGT,2023-01-11,0.2,-0.01713542366859011,11
TPL,2023-01-11,5.0,-0.08759841443988747,11
REXP,2023-01-17,35.0,-0.09762846929670321,11
KGAL,2023-01-19,7.0,-0.13029449053548914,11
NAMU,2023-01-19,14.0,-0.0948310774786838,11
BREW,2023-01-27,23.0,0.003950707816612109,6
CTC,2023-02-08,30.0,0.008139251997596686,11
DIST,2023-02-08,1.1,-0.018163817068494015,11
MELS,2023-02-08,1.7,0.005105481923264543,11
CTEA,2023-02-21,10.0,-0.0009480107556314454,5
KFP,2023-02-21,1.5,-0.05603162279990015,10
VLL,2023-02-21,0.1,-0.025455690188068147,11
VLL,2023-02-21,0.1,-0.025455690188068147,11
CARE,2023-02-22,2.0,-0.153616018413271,11
CCS,2023-02-28,0.86,0.0588565221373184,11
HASU,2023-04-03,3.65,-0.039866213718582566,11
SAMP,2023-03-31,3.45,0.008558448969519072,11
NEST,2023-03-01,55.0,-0.05814932757969027,10
OSEA,2023-04-27,1.25,-0.06950901889907257,11
CSD,2023-03-31,1.2,-0.13555495687263808,11
COMD,2023-04-03,4.0,-0.0934436578223593,11
ETWO,2023-03-10,0.5,-0.07295341571356473,7
COLO,2023-03-13,5.0,-0.038630657013127845,10
CTC,2023-03-13,30.0,-0.021626049790852364,11
AAIC,2023-03-15,3.5,0.054915044757721576,11
LITE,2023-03-16,1.0,-0.028492443200859197,11
PARQ,2023-03-16,1.1,-0.049182627579310134,11
TILE,2023-03-17,6.5,-0.14635486163324896,11
JKL,2023-03-20,2.95,-0.04574397940382957,11
LWL,2023-03-20,6.3,-0.165432080858949,11
TSML,2023-03-20,6.67,-0.08272115227697341,11
RCL,2023-03-21,2.4,-0.1449812732475494,11
PACK,2023-03-22,0.72,-0.07113899259453971,11
DIPD,2023-03-24,0.6,-0.031460999678298296,11
HAYC,2023-03-24,1.0,-0.028915186630671275,11
HAYL,2023-03-24,5.35,-0.06157645624464014,11
HEXP,2023-03-24,0.5,-0.018815370342940896,11
KVAL,2023-03-24,3.0,0.009861878807353675,11
MGT,2023-03-24,0.3,0.056425037801098865,11
TPL,2023-03-24,6.0,-0.051953390151430856,11
BALA,2023-04-04,2.0,-0.044501503009785726,11
LHCL,2023-04-04,1.5,-0.04709446872632517,11
UML,2023-04-06,1.0,-0.03249265001918089,10
LMF,2023-04-12,5.0,0.006640132614346483,11
CTC,2023-05-29,20.3,-0.04028184498016385,11
FCT,2023-04-17,1.5,-0.007896712670448558,11
CFVF,2023-04-19,2.25,-0.11786468725828436,11
CINS,2023-05-29,45.0,0.018899702666912765,5
CINS,2023-05-29,45.0,0.018899702666912765,5
TPL,2023-04-20,17.35,-0.09228955376802572,11
SLTL,2023-05-12,0.25,-0.01708940414322624,11
