date,transaction_type,investor_type,value
2013-10-03,net,Foreign Companies,2985628756.0
2013-11-03,net,Foreign Companies,-676379488.0
2013-12-03,net,Foreign Companies,161396281.0
2014-01-03,net,Foreign Companies,975986528.0
2014-02-03,net,Foreign Companies,-4801953043.0
2014-03-03,net,Foreign Companies,-2648767650.0
2014-04-03,net,Foreign Companies,-346093251.0
2014-05-03,net,Foreign Companies,9555209997.0
2014-06-03,net,Foreign Companies,3948204988.0
2014-07-03,net,Foreign Companies,6521043414.0
2014-08-03,net,Foreign Companies,-2851253483.0
2014-09-03,net,Foreign Companies,-678338978.0
2014-10-03,net,Foreign Companies,7986923806.0
2014-11-03,net,Foreign Companies,5681574647.0
2014-12-03,net,Foreign Companies,1693885317.0
2015-01-03,net,Foreign Companies,188781387.0
2015-02-03,net,Foreign Companies,1474677028.0
2015-03-03,net,Foreign Companies,1308862464.0
2015-04-03,net,Foreign Companies,1459670743.0
2015-05-03,net,Foreign Companies,360334354.0
2015-06-03,net,Foreign Companies,-2877911332.0
2015-07-03,net,Foreign Companies,-840546004.0
2015-08-03,net,Foreign Companies,-4287606035.0
2015-09-03,net,Foreign Companies,-76645606.0
2015-10-03,net,Foreign Companies,-604819422.0
2015-11-03,net,Foreign Companies,-72468475.0
2015-12-03,net,Foreign Companies,-839719028.0
2016-01-03,net,Foreign Companies,-2879544694.0
2016-02-03,net,Foreign Companies,1255287063.0
2016-03-03,net,Foreign Companies,-486153635.0
2016-04-03,net,Foreign Companies,-948674779.0
2016-05-03,net,Foreign Companies,-2640446895.0
2016-06-03,net,Foreign Companies,-559981681.0
2016-07-03,net,Foreign Companies,1478524719.0
2016-08-03,net,Foreign Companies,731220232.0
2016-09-03,net,Foreign Companies,797916492.0
2016-10-03,net,Foreign Companies,1211416140.0
2016-11-03,net,Foreign Companies,96420550.0
2016-12-03,net,Foreign Companies,2549259550.0
2017-01-03,net,Foreign Companies,-1915142338.0
2017-02-03,net,Foreign Companies,1681272898.0
2017-03-03,net,Foreign Companies,5118876945.0
2017-04-03,net,Foreign Companies,11513300903.0
2017-05-03,net,Foreign Companies,2903666872.0
2017-06-03,net,Foreign Companies,2724562324.0
2017-07-03,net,Foreign Companies,4133052509.0
2017-08-03,net,Foreign Companies,1666816018.0
2017-09-03,net,Foreign Companies,-9568622519.0
2017-10-03,net,Foreign Companies,1967494495.0
2017-11-03,net,Foreign Companies,569186644.0
2017-12-03,net,Foreign Companies,-179967266.0
2018-01-03,net,Foreign Companies,4015406203.0
2018-02-03,net,Foreign Companies,1901579377.0
2018-03-03,net,Foreign Companies,-11505149026.0
2018-04-03,net,Foreign Companies,1278187649.0
2018-05-03,net,Foreign Companies,-1685621750.0
2018-06-03,net,Foreign Companies,-97090601.0
2018-07-03,net,Foreign Companies,-1540802487.0
2018-08-03,net,Foreign Companies,-1760193451.0
2018-09-03,net,Foreign Companies,-1896947300.0
2018-10-03,net,Foreign Companies,-7167687459.0
2018-11-03,net,Foreign Companies,-5448238683.0
2018-12-03,net,Foreign Companies,-5205807316.0
2019-01-03,net,Foreign Companies,-2321186990.0
2019-02-03,net,Foreign Companies,-2776892675.0
2019-03-03,net,Foreign Companies,-2015265704.0
2019-04-03,net,Foreign Companies,1701196396.0
2019-05-03,net,Foreign Companies,-1212909489.0
2019-06-03,net,Foreign Companies,-666721997.0
2019-07-03,net,Foreign Companies,7011279978.0
2019-08-03,net,Foreign Companies,-2182636963.0
2019-09-03,net,Foreign Companies,-1238090666.0
2019-10-03,net,Foreign Companies,-1697502324.0
2019-11-03,net,Foreign Companies,-6490818554.0
2019-12-03,net,Foreign Companies,-958655647.0
2020-01-03,net,Foreign Companies,-3012707183.0
2020-02-03,net,Foreign Companies,-1131313612.0
2020-03-03,net,Foreign Companies,-1392760760.0
2020-05-03,net,Foreign Companies,-6963686725.0
2020-06-03,net,Foreign Companies,-8505880811.0
2020-07-03,net,Foreign Companies,-3602611810.0
2020-08-03,net,Foreign Companies,-7981194493.0
2020-09-03,net,Foreign Companies,-7702394941.0
2020-10-03,net,Foreign Companies,-5310552094.0
2020-11-03,net,Foreign Companies,-2563312486.0
2020-12-03,net,Foreign Companies,-2985275875.0
2021-01-03,net,Foreign Companies,-7914675341.0
2021-02-03,net,Foreign Companies,-4893352183.0
2021-03-03,net,Foreign Companies,-4045680249.0
2021-04-03,net,Foreign Companies,-3712073105.0
2021-05-03,net,Foreign Companies,-3790402154.0
2021-06-03,net,Foreign Companies,-1103784949.0
2021-07-03,net,Foreign Companies,-8086237786.0
2021-08-03,net,Foreign Companies,-3612704546.0
2021-09-03,net,Foreign Companies,-6624365558.0
2021-10-03,net,Foreign Companies,-1144366934.0
2021-11-03,net,Foreign Companies,-3295330169.0
2021-12-03,net,Foreign Companies,-913029253.0
2022-01-03,net,Foreign Companies,-1849742623.0
2022-02-03,net,Foreign Companies,-428279813.0
2022-03-03,net,Foreign Companies,1143387750.0
2022-04-03,net,Foreign Companies,147652378.0
2022-05-03,net,Foreign Companies,-465555163.0
2022-06-03,net,Foreign Companies,-516014237.0
2022-07-03,net,Foreign Companies,263164891.0
2022-08-03,net,Foreign Companies,57277997.0
2022-09-03,net,Foreign Companies,15019093477.0
2022-10-03,net,Foreign Companies,2210325255.0
2022-11-03,net,Foreign Companies,-270700398.0
2022-12-03,net,Foreign Companies,12843646674.0
2023-01-03,net,Foreign Companies,449441350.0
2023-02-03,net,Foreign Companies,3137849115.0
2023-03-03,net,Foreign Companies,-3521035823.0
2023-04-03,net,Foreign Companies,793893215.0
2023-05-03,net,Foreign Companies,-353977724.0
2023-06-03,net,Foreign Companies,-559031083.0
2023-07-03,net,Foreign Companies,2234065475.0
2023-08-03,net,Foreign Companies,529108555.0
2023-09-03,net,Foreign Companies,-1323061730.0
2023-10-03,net,Foreign Companies,610564853.0
2023-11-03,net,Foreign Companies,630567586.0
2023-12-03,net,Foreign Companies,-626920133.0
2024-01-03,net,Foreign Companies,-2238220267.0
2024-02-03,net,Foreign Companies,-1622971341.0
2024-03-03,net,Foreign Companies,-4310252284.0
2024-04-03,net,Foreign Companies,1232614490.0
2024-05-03,net,Foreign Companies,-326116816.0
